"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkLocator","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","skipped","Thu Sep 04 14:38:11 UTC 2025","tests.LocatorTest","Thread #2","tests.LocatorTest","checkLocator"
"Проверка добавление товара в корзину","1","checkCart","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","skipped","Thu Sep 04 14:38:11 UTC 2025","tests.CartTest","Thread #2","tests.CartTest","checkCart"
"","2","Открытие браузера","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","broken","Thu Sep 04 14:38:11 UTC 2025","tests.LoginTest","Thread #1","tests.LoginTest","setup"
"","2","Открытие браузера","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","broken","Thu Sep 04 14:38:11 UTC 2025","tests.CartTest","Thread #2","tests.CartTest","setup"
"","1","checkLoginWithWrongPassword","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","skipped","Thu Sep 04 14:38:11 UTC 2025","tests.LoginTest","Thread #1","tests.LoginTest","checkLoginWithWrongPassword"
"","0","Открытие браузера","SauceDemo Smoke Test","Thu Sep 04 14:38:11 UTC 2025","broken","Thu Sep 04 14:38:11 UTC 2025","tests.LocatorTest","Thread #2","tests.LocatorTest","setup"
