"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1634","checkLoginWithWrongPassword","SauceDemo Smoke Test","Mon Jun 16 18:55:44 GMT 2025","passed","Mon Jun 16 18:55:46 GMT 2025","tests.LoginTest","Thread #1","tests.LoginTest","checkLoginWithWrongPassword"
"","245","checkLocator","SauceDemo Smoke Test","Mon Jun 16 18:55:46 GMT 2025","passed","Mon Jun 16 18:55:47 GMT 2025","tests.LocatorTest","Thread #2","tests.LocatorTest","checkLocator"
"Проверка добавление товара в корзину","1924","checkCart","SauceDemo Smoke Test","Mon Jun 16 18:55:44 GMT 2025","passed","Mon Jun 16 18:55:46 GMT 2025","tests.CartTest","Thread #2","tests.CartTest","checkCart"
