"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","checkLocator","SauceDemo Smoke Test","Mon Jun 16 16:30:30 GMT 2025","passed","Mon Jun 16 16:30:31 GMT 2025","tests.LocatorTest","Thread #2","tests.LocatorTest","checkLocator"
"Проверка добавление товара в корзину","1749","checkCart","SauceDemo Smoke Test","Mon Jun 16 16:30:28 GMT 2025","passed","Mon Jun 16 16:30:30 GMT 2025","tests.CartTest","Thread #2","tests.CartTest","checkCart"
"","1474","checkLoginWithWrongPassword","SauceDemo Smoke Test","Mon Jun 16 16:30:28 GMT 2025","passed","Mon Jun 16 16:30:30 GMT 2025","tests.LoginTest","Thread #1","tests.LoginTest","checkLoginWithWrongPassword"
