"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","checkLocator","SauceDemo Smoke Test","Mon Jun 16 18:10:53 GMT 2025","passed","Mon Jun 16 18:10:53 GMT 2025","tests.LocatorTest","Thread #2","tests.LocatorTest","checkLocator"
"Проверка добавление товара в корзину","1141","checkCart","SauceDemo Smoke Test","Mon Jun 16 18:10:52 GMT 2025","passed","Mon Jun 16 18:10:53 GMT 2025","tests.CartTest","Thread #2","tests.CartTest","checkCart"
"","931","checkLoginWithWrongPassword","SauceDemo Smoke Test","Mon Jun 16 18:10:52 GMT 2025","passed","Mon Jun 16 18:10:53 GMT 2025","tests.LoginTest","Thread #1","tests.LoginTest","checkLoginWithWrongPassword"
